Country,Year,Avg Temperature (°C),Sea Level Rise (mm),Rainfall (mm),Population,Renewable Energy (%),Extreme Weather Events,Forest Area (%),CO2 Emissions (Tons/Capita)
Australia,2008,19.2,3.0,1753.5,1224480892.5,32.6,7.5,37.7,8.5
Australia,2010,21.83,3.83,2313.0,791472737.33,20.53,6.33,43.27,3.97
Australia,2011,18.16,3.1,1933.4,932632948.6,34.42,4.4,40.6,12.08
Australia,2012,17.05,3.85,1727.0,704103146.0,25.2,7.0,57.05,4.65
Australia,2014,27.2,3.9,589.0,761742932.0,34.8,14.0,37.2,2.0
Australia,2015,6.2,3.2,2271.0,428326345.0,49.8,6.0,17.0,1.5
Australia,2016,21.4,4.12,1347.0,687765937.5,26.5,7.25,35.0,13.48
Australia,2017,26.35,1.8,1180.0,751876856.5,10.05,3.0,37.65,5.15
Australia,2018,18.68,2.72,1254.75,1072034224.25,18.6,3.25,30.72,11.7
Australia,2019,19.96,2.82,2322.2,324317574.6,33.12,10.8,42.18,7.36
Australia,2020,20.35,3.62,1269.75,859997201.0,21.55,6.25,39.38,9.35
Australia,2021,24.9,4.1,2911.0,281959311.0,45.8,1.0,68.3,4.9
Australia,2022,18.33,3.97,1660.33,663524844.0,19.0,9.67,44.67,11.83
Australia,2023,11.5,2.3,1910.0,1010451727.0,15.5,5.0,24.4,9.2
Brazil,2000,31.2,3.7,803.0,255339962.0,28.3,9.0,21.7,14.6
Brazil,2001,17.15,3.45,1492.0,623329603.5,20.6,12.5,44.65,11.35
Brazil,2002,14.27,3.0,2127.0,563195666.33,36.1,9.0,29.03,11.07
Brazil,2003,17.45,3.3,1616.0,533033990.5,34.65,8.0,41.25,12.75
Brazil,2004,16.4,3.8,1641.0,681529141.0,6.6,7.0,27.7,10.1
Brazil,2005,34.4,3.7,2132.0,104922177.0,29.3,3.0,46.9,5.0
Brazil,2006,22.23,2.7,2343.33,769149289.0,30.63,6.33,41.67,11.73
Brazil,2007,25.3,2.3,2051.0,196111561.0,39.9,3.0,24.0,19.9
Brazil,2008,20.6,3.76,1733.4,502293315.6,30.46,5.0,53.72,8.86
Brazil,2009,31.5,3.6,1149.0,172465953.0,23.7,9.0,15.4,9.3
Brazil,2010,16.42,3.6,1668.4,774635388.0,21.64,5.2,37.18,12.26
Brazil,2011,22.47,3.16,1935.86,920252099.71,24.39,8.57,37.0,9.59
Brazil,2012,22.5,2.17,2278.0,570872848.33,47.57,6.0,27.03,11.6
Brazil,2013,23.23,3.13,2071.0,564851910.67,22.77,9.33,43.63,14.57
Brazil,2014,24.08,3.02,1576.75,673227342.5,29.25,5.5,41.28,10.32
Brazil,2015,17.75,4.0,1394.5,1069665487.5,13.7,6.0,39.65,14.3
Brazil,2016,24.66,3.1,1264.2,648286561.4,32.66,8.2,38.78,9.24
Brazil,2017,13.3,3.2,2142.0,741458331.33,23.9,6.0,46.3,10.13
Brazil,2018,16.3,3.04,2062.6,564449890.6,29.0,5.6,37.1,6.88
Brazil,2019,21.0,1.5,1519.0,341217904.0,34.7,5.0,63.4,19.8
Brazil,2020,23.36,3.02,1373.4,1144944834.4,36.92,3.6,43.48,9.7
Brazil,2021,27.5,3.2,2320.0,552258722.0,14.8,9.0,59.3,14.6
Brazil,2022,18.4,4.6,1691.0,302427829.0,30.3,12.0,36.2,9.5
Brazil,2023,19.35,2.7,2351.5,399203792.5,29.6,10.5,40.4,13.1
Canada,2000,19.3,2.65,1383.0,414931290.5,22.75,8.5,42.1,8.85
Canada,2001,21.25,3.65,1496.0,862518925.5,27.1,1.5,46.75,13.8
Canada,2002,22.6,2.9,2018.88,669252430.5,25.09,9.5,34.26,11.65
Canada,2003,11.6,1.9,2798.0,625984226.0,31.8,0.0,58.3,15.2
Canada,2004,19.85,3.38,1823.5,215015307.5,41.32,7.25,53.18,5.68
Canada,2005,16.19,3.76,2152.71,891024638.86,25.2,6.86,44.1,7.79
Canada,2006,16.63,2.53,1677.67,879102652.0,33.7,9.33,42.27,8.5
Canada,2007,29.4,2.7,1132.0,274322712.0,18.75,9.0,47.3,10.1
Canada,2008,14.63,3.57,2870.33,317765794.0,17.2,12.0,34.8,13.67
Canada,2009,24.1,3.2,557.0,915322799.0,49.4,8.0,43.6,15.3
Canada,2010,5.5,4.8,2145.0,72556185.0,44.3,9.0,52.4,13.7
Canada,2012,17.38,3.1,1739.6,596571825.2,21.2,5.0,43.14,10.56
Canada,2013,12.92,2.82,1698.83,794879756.83,23.87,7.0,40.5,14.7
Canada,2014,27.6,2.65,1765.5,995009297.5,42.55,7.5,56.9,11.3
Canada,2015,25.4,4.6,2286.0,646048990.0,10.9,11.0,46.7,4.5
Canada,2016,25.05,2.85,1825.0,492501773.75,34.0,1.75,38.42,7.1
Canada,2017,15.5,3.45,2278.0,1267688411.5,30.35,7.0,60.7,7.2
Canada,2018,31.9,1.75,1089.0,484242306.0,37.05,5.0,38.8,7.8
Canada,2019,25.65,4.75,2571.0,1181977638.0,5.65,6.5,52.2,5.25
Canada,2020,33.3,4.1,2011.0,117312606.0,36.2,12.0,15.7,19.4
Canada,2021,19.2,1.9,1497.0,807954646.0,12.15,11.5,11.95,13.65
Canada,2022,28.7,2.0,2726.0,599372628.0,15.9,8.0,46.0,5.9
Canada,2023,20.7,4.1,948.0,987307952.0,17.13,6.67,36.7,7.9
China,2000,26.2,2.2,1849.0,692054707.5,36.67,5.25,44.52,6.93
China,2001,27.4,3.9,2416.0,171927360.0,42.9,12.0,19.2,19.0
China,2003,22.02,2.66,2360.6,740185242.6,24.04,7.2,42.3,10.16
China,2004,21.14,2.58,2057.2,332979499.0,36.96,6.2,31.32,10.9
China,2006,11.5,2.45,2745.5,978299365.5,20.2,6.5,58.5,10.5
China,2007,11.5,3.33,1683.0,481125480.67,25.87,9.33,39.87,8.63
China,2008,34.8,2.8,904.0,1119409767.0,20.2,9.0,53.5,19.8
China,2010,18.6,2.53,2043.67,450149088.0,28.07,6.33,62.67,11.77
China,2011,17.98,3.2,1629.4,709910008.0,23.44,5.0,35.84,12.04
China,2012,19.97,3.17,1543.0,573194554.33,44.3,8.33,54.1,15.63
China,2013,14.4,4.2,1359.0,709386257.0,18.6,13.0,12.9,1.5
China,2014,7.6,3.2,577.0,316387268.0,10.1,1.0,12.0,10.2
China,2015,19.77,2.67,1380.33,717339050.0,18.53,8.0,55.2,15.03
China,2016,19.82,2.52,1764.25,826703127.0,35.9,8.25,34.95,4.68
China,2017,21.48,3.25,1709.0,382156746.25,34.75,8.0,47.2,9.88
China,2018,22.28,2.82,1869.5,534934720.5,27.47,10.33,48.23,9.47
China,2019,20.85,2.95,2094.5,372220037.5,21.15,0.5,52.95,14.65
China,2020,19.22,3.18,2034.4,815944910.8,30.78,5.8,45.4,11.66
China,2021,20.8,3.17,1455.0,316817780.0,34.13,9.67,40.53,12.57
China,2022,23.1,3.27,2003.0,664439282.0,27.7,9.0,48.5,13.27
China,2023,21.1,3.43,1572.0,747871011.33,23.73,8.33,58.27,9.33
France,2000,16.6,2.8,1819.67,213601955.67,32.9,11.33,49.7,14.6
France,2001,27.0,4.4,2989.0,1018260723.0,38.5,14.0,64.6,13.3
France,2002,23.53,3.67,2496.0,822687215.67,21.8,3.0,38.6,16.73
France,2003,18.77,3.67,1045.33,674678130.67,31.43,13.67,37.23,9.9
France,2004,20.7,2.35,1904.5,923109245.5,9.05,7.0,46.2,10.7
France,2005,29.7,2.5,1501.0,1030270792.0,21.5,11.0,63.4,18.6
France,2006,16.4,3.1,1857.0,899768321.33,37.03,3.67,20.93,15.4
France,2007,27.17,3.1,2243.0,640646322.33,28.0,8.0,66.03,9.9
France,2008,13.0,2.13,1491.0,228496119.67,34.9,11.67,58.47,14.07
France,2009,8.4,1.6,839.0,619079995.0,39.3,5.0,57.1,17.9
France,2010,14.0,2.1,1085.0,218199220.0,17.1,14.0,65.9,2.9
France,2011,21.7,2.6,1181.0,1214544133.0,33.1,14.0,54.4,5.2
France,2012,14.7,2.5,1412.2,735205326.2,21.28,7.2,33.74,7.7
France,2013,14.87,3.9,1661.33,576593830.0,36.57,8.33,28.57,11.63
France,2014,23.94,2.84,2056.43,618405148.0,25.64,9.57,28.1,8.77
France,2015,21.56,3.56,1822.8,913213256.4,26.58,11.2,31.28,8.3
France,2016,32.6,4.0,1545.0,333230308.0,49.5,10.0,64.8,18.1
France,2017,21.65,2.85,2432.5,811481286.5,33.2,3.0,43.75,4.0
France,2018,22.27,3.87,1667.0,1028797717.33,18.0,8.67,42.0,7.13
France,2019,23.53,3.13,2268.33,582489910.67,26.93,9.0,48.97,15.03
France,2020,5.1,4.3,1315.0,943264951.0,50.0,7.0,41.3,8.5
France,2021,13.5,3.18,2205.4,884897856.0,30.5,8.8,25.1,10.64
France,2022,16.15,3.75,1647.0,410684275.5,25.05,5.0,38.9,12.8
France,2023,19.75,4.3,755.25,758348216.25,34.8,7.25,29.7,11.62
Germany,2000,9.75,1.45,2641.0,926116364.5,32.25,5.5,42.4,5.95
Germany,2001,21.57,4.07,1907.33,759926230.33,21.37,8.17,46.8,7.22
Germany,2002,15.8,1.8,2159.0,883523300.0,27.2,5.0,46.45,18.85
Germany,2003,30.5,3.0,2871.0,1038669571.0,19.4,10.0,33.5,7.7
Germany,2004,17.08,3.98,1660.75,734279667.0,37.0,6.5,60.0,13.0
Germany,2005,27.27,2.97,1355.33,1223339775.67,18.73,9.0,50.37,11.07
Germany,2006,25.0,4.6,1605.0,703458181.0,19.2,1.0,22.6,7.9
Germany,2007,20.06,2.89,1659.71,559247753.14,26.67,6.71,38.27,8.59
Germany,2008,28.1,1.4,2223.0,333786819.0,10.7,9.0,66.0,3.7
Germany,2009,18.63,1.92,1537.83,968925346.67,30.57,4.83,43.87,8.0
Germany,2010,24.9,1.4,1841.0,63908951.0,40.7,10.0,21.9,11.2
Germany,2011,24.1,2.1,2854.0,398407112.0,41.0,3.0,19.8,17.3
Germany,2012,21.2,2.8,1237.0,824033042.0,28.9,7.5,41.85,10.1
Germany,2013,17.9,4.6,1198.0,226407206.0,19.4,13.0,17.7,4.8
Germany,2014,21.7,2.9,688.0,598463676.0,48.6,10.0,50.4,17.7
Germany,2015,18.83,2.77,1547.0,393454944.0,43.43,10.67,42.73,5.03
Germany,2016,24.1,4.05,2265.0,889274114.0,26.7,6.5,47.5,5.85
Germany,2017,19.35,3.25,1902.5,852728211.0,33.35,11.5,42.7,18.2
Germany,2018,21.75,2.58,1560.0,963730135.75,19.58,6.25,38.2,10.07
Germany,2019,8.3,4.3,2101.0,567106041.0,41.3,8.0,29.2,4.5
Germany,2021,20.05,3.45,1406.0,975487671.0,43.3,6.0,49.6,11.75
Germany,2022,19.5,2.34,1508.0,694626882.4,32.6,5.0,34.04,12.36
Germany,2023,21.3,2.0,2069.67,703946815.67,17.9,3.0,47.4,10.9
India,2000,21.25,3.25,1124.5,475745329.25,19.8,7.5,37.0,12.25
India,2001,15.05,3.45,1554.5,458271595.5,18.75,5.0,25.55,7.9
India,2002,21.78,3.43,1778.33,638704319.5,22.7,5.83,47.47,7.45
India,2003,11.0,3.73,1387.67,158459652.33,36.13,7.67,33.87,16.0
India,2004,21.2,2.78,1590.0,554418694.5,32.62,8.25,35.15,13.52
India,2005,21.45,2.2,1418.88,576524537.88,26.52,6.75,45.19,8.75
India,2006,16.4,3.7,2452.0,30380783.0,31.8,11.0,22.6,5.4
India,2007,29.33,1.83,1616.0,716546880.67,23.87,13.0,26.87,11.67
India,2008,16.3,4.8,2141.0,281361562.0,47.8,2.0,30.2,18.7
India,2009,23.25,3.5,1753.5,731355143.0,14.55,3.0,56.1,11.4
India,2011,10.3,4.8,1530.0,575572757.0,28.6,0.0,62.0,4.5
India,2012,12.5,3.73,1321.33,745107333.0,33.77,9.33,36.4,10.6
India,2013,21.65,2.1,1317.5,965418807.5,45.75,4.0,26.65,14.5
India,2014,24.7,3.6,1465.0,826281791.5,37.2,9.5,19.35,11.35
India,2015,15.65,3.6,1341.0,892121368.5,37.2,11.0,54.85,7.1
India,2016,17.27,2.85,1524.25,779693628.25,24.02,8.25,36.22,11.7
India,2017,16.37,2.23,2079.0,952925299.33,39.77,9.0,28.83,5.4
India,2018,29.5,3.57,2600.0,339552402.67,30.7,8.67,31.43,12.53
India,2019,20.38,2.9,1622.0,928364153.8,19.08,9.8,39.84,7.68
India,2020,9.6,1.2,795.0,988849880.0,11.1,8.0,44.9,5.7
India,2021,17.48,2.3,1636.0,628542335.6,23.76,7.2,51.66,13.08
India,2022,16.63,2.57,1678.67,1020175443.0,28.73,5.33,39.77,12.5
India,2023,26.9,1.7,2061.5,536937978.5,32.55,8.5,37.9,17.65
Indonesia,2000,23.59,3.24,1781.43,646381068.29,26.69,6.57,38.84,13.94
Indonesia,2001,18.7,3.37,1852.0,376860014.33,23.7,11.0,58.6,11.37
Indonesia,2002,19.3,3.02,1175.0,320398832.5,26.82,3.5,45.52,10.05
Indonesia,2003,12.7,2.0,2102.5,770400538.0,43.0,6.0,52.3,16.0
Indonesia,2004,14.2,2.58,2167.4,664034493.8,24.88,8.4,51.28,11.8
Indonesia,2005,18.8,3.3,586.0,552297077.5,15.0,8.5,36.95,3.45
Indonesia,2006,20.7,3.02,1898.75,793988826.75,32.95,9.5,43.12,8.83
Indonesia,2007,19.94,2.24,1799.43,759156740.71,17.96,6.43,34.99,13.0
Indonesia,2008,15.75,1.6,1072.0,376533533.0,38.4,8.5,45.25,7.4
Indonesia,2009,17.55,1.55,2036.5,690229827.5,38.2,8.5,54.1,14.1
Indonesia,2010,15.72,3.46,1626.2,802621693.6,22.24,10.0,36.76,9.24
Indonesia,2011,13.77,2.87,2490.33,1161008934.33,26.53,4.67,47.8,10.37
Indonesia,2012,14.7,1.95,1305.5,1250899821.0,24.3,8.5,18.25,10.75
Indonesia,2014,12.72,2.42,2095.25,821554077.5,36.4,6.75,26.95,10.82
Indonesia,2015,22.17,2.6,1655.67,736418344.33,41.3,11.0,49.8,6.03
Indonesia,2016,19.95,2.2,2335.25,473988512.0,16.1,5.0,35.85,7.98
Indonesia,2018,29.1,1.9,1382.0,1160732321.0,43.3,10.0,52.7,16.7
Indonesia,2019,12.97,2.3,2070.33,665927997.33,27.5,10.33,46.73,11.47
Indonesia,2020,25.93,3.17,1417.67,485781032.67,11.87,3.0,26.9,11.6
Indonesia,2021,22.17,3.5,1858.67,858131546.67,25.92,8.0,38.32,12.03
Indonesia,2022,15.9,3.3,980.0,838390349.0,47.7,3.0,50.5,11.5
Indonesia,2023,28.15,2.65,2692.0,1098206293.5,17.75,11.0,20.1,12.9
Japan,2001,26.65,3.55,1192.5,673684847.5,10.8,5.5,51.15,3.8
Japan,2002,26.5,2.7,2462.67,613197832.33,26.03,10.0,46.7,11.5
Japan,2003,24.97,4.0,2308.67,479709476.0,27.47,9.0,39.67,10.83
Japan,2004,13.58,2.44,2044.2,976239642.0,41.54,6.2,35.74,11.84
Japan,2005,10.7,1.1,629.0,1328981569.0,27.6,14.0,16.3,15.7
Japan,2006,27.6,4.8,2726.0,63232362.0,26.2,9.0,12.9,14.4
Japan,2007,15.4,4.3,921.0,194923647.0,31.5,3.0,45.1,1.3
Japan,2008,16.55,2.98,2061.25,452369020.0,23.0,9.75,31.8,9.9
Japan,2009,34.25,3.55,1458.5,114498662.0,37.45,3.5,19.25,11.4
Japan,2010,24.5,1.7,610.0,156286200.0,23.2,12.0,58.6,12.2
Japan,2011,18.67,2.7,1929.0,832151942.0,21.8,9.33,41.1,12.7
Japan,2012,10.55,3.35,1293.5,916828451.0,16.95,4.5,26.4,18.25
Japan,2014,23.2,4.05,1676.75,948045820.75,26.25,8.5,36.9,11.32
Japan,2015,23.2,2.7,1859.0,320918203.5,24.75,12.0,37.8,12.1
Japan,2016,17.98,3.32,1577.25,591327823.25,22.62,12.0,36.55,17.32
Japan,2017,19.24,2.88,2359.6,1039657229.4,30.2,7.2,34.84,8.1
Japan,2018,24.32,2.9,1999.0,704014141.8,28.94,8.2,51.42,11.82
Japan,2019,18.4,3.85,1459.0,803220177.5,28.35,9.0,51.1,9.4
Japan,2020,19.25,3.45,1203.0,566426426.5,39.2,7.5,25.4,12.4
Japan,2021,20.32,3.28,1295.75,472206586.25,29.48,5.0,34.7,7.52
Japan,2022,17.58,2.58,1912.8,803541832.6,28.04,5.4,38.2,10.88
Japan,2023,24.8,2.15,1710.5,1064391177.5,18.95,6.0,51.65,4.8
Mexico,2000,16.9,1.2,1974.5,519457195.0,20.35,11.0,47.15,4.4
Mexico,2001,13.94,2.4,1989.0,523713478.0,23.7,6.8,38.26,9.66
Mexico,2002,11.7,2.2,2895.0,202831247.0,48.3,3.0,62.5,4.6
Mexico,2003,20.4,3.03,1565.67,302193487.67,27.7,7.0,36.43,11.3
Mexico,2004,34.2,2.6,1096.0,1177772833.0,11.0,7.0,40.0,9.7
Mexico,2005,7.2,1.1,1692.0,1128035409.0,33.3,8.0,30.0,5.2
Mexico,2006,20.55,2.6,1641.0,1163003844.0,22.45,5.5,43.4,3.4
Mexico,2007,8.6,1.9,880.0,1275080026.0,21.5,2.0,43.6,4.1
Mexico,2008,25.1,2.4,2894.0,237078466.0,7.8,5.0,53.1,4.6
Mexico,2009,25.5,3.6,2723.0,144553139.0,30.0,5.0,66.3,2.5
Mexico,2010,24.37,2.13,1655.33,1284823302.33,44.1,5.67,38.97,10.13
Mexico,2011,17.4,2.72,2112.2,907518087.8,20.18,5.8,39.14,10.78
Mexico,2012,17.5,3.8,1965.5,200605956.0,27.85,4.5,42.3,14.5
Mexico,2013,19.9,1.65,1831.0,411130449.5,31.2,12.0,55.25,4.6
Mexico,2014,27.47,3.53,1595.0,516234719.67,29.43,5.67,57.07,16.5
Mexico,2015,13.45,2.75,1517.0,650162904.0,41.05,5.0,61.7,12.15
Mexico,2016,14.4,2.5,846.5,1103205715.5,34.45,1.0,50.6,17.35
Mexico,2017,23.18,2.62,1809.25,1107638387.0,40.48,5.0,45.98,6.35
Mexico,2018,21.85,2.65,2244.5,330683632.0,21.15,5.5,33.8,9.25
Mexico,2019,21.57,4.07,2158.0,1023693616.33,31.43,10.0,50.83,4.53
Mexico,2020,20.2,2.2,1478.0,30190953.0,14.3,12.0,47.9,15.4
Mexico,2021,32.38,3.18,1422.75,746728030.25,25.22,11.0,38.5,9.12
Mexico,2022,28.2,2.5,1917.5,976254560.5,17.05,4.0,25.1,12.85
Mexico,2023,20.0,2.75,1772.5,873525850.0,18.15,1.5,24.45,9.75
Russia,2000,11.0,4.9,849.0,647111170.0,34.95,3.0,39.65,9.9
Russia,2001,26.65,3.9,1273.0,956417017.5,27.9,8.0,43.75,7.8
Russia,2002,24.6,3.01,1899.75,389562243.12,28.28,5.38,41.16,6.71
Russia,2003,16.23,4.1,1336.33,829650407.33,18.37,10.0,50.6,10.47
Russia,2004,32.0,2.8,1964.5,719886955.0,28.6,6.5,37.95,2.85
Russia,2005,15.55,2.8,1607.5,914440976.0,43.3,13.0,38.7,1.6
Russia,2006,24.33,2.5,1795.33,951813428.67,23.13,7.0,27.07,6.47
Russia,2007,24.2,3.8,1798.2,855377427.4,30.36,9.0,57.66,9.98
Russia,2008,21.9,3.0,1318.83,936358385.83,26.32,8.17,36.52,10.88
Russia,2009,26.05,2.85,1373.5,1034046318.5,14.3,13.0,50.25,12.8
Russia,2010,19.85,4.15,1780.0,384067519.5,16.65,2.0,15.65,11.15
Russia,2011,14.72,3.52,1870.0,706351718.0,29.28,8.25,47.75,5.18
Russia,2012,17.4,4.3,2806.0,1085609772.0,41.5,2.0,22.8,8.1
Russia,2013,14.75,3.15,2283.75,362727117.25,28.35,8.5,30.48,10.58
Russia,2014,9.4,4.5,1446.0,513004938.0,24.0,5.0,51.4,9.7
Russia,2015,21.85,2.68,1715.33,387339941.17,37.98,5.0,29.72,12.73
Russia,2016,22.07,2.57,1101.33,973168626.0,33.17,10.67,38.17,7.1
Russia,2017,22.15,2.45,1921.5,932986867.0,25.25,8.0,12.65,7.25
Russia,2018,19.9,2.55,1374.5,1043926792.0,36.95,9.0,40.5,3.3
Russia,2019,12.35,4.4,2452.5,562568175.0,31.65,5.5,39.1,12.95
Russia,2020,22.11,3.53,1698.86,570778022.43,29.04,6.0,32.16,6.7
Russia,2021,25.5,4.9,942.0,1252394217.0,17.9,12.0,60.2,18.5
Russia,2022,12.7,2.87,2031.67,771049628.33,19.47,9.0,39.4,16.47
Russia,2023,30.9,3.3,979.0,1012843726.0,27.6,13.0,60.2,11.4
South Africa,2000,26.11,2.97,2189.86,539231125.0,25.41,6.14,32.51,13.99
South Africa,2001,21.72,2.55,1502.5,921542079.0,32.25,9.75,33.75,4.5
South Africa,2002,30.8,3.05,2375.0,260657828.5,28.5,8.0,37.85,5.6
South Africa,2003,23.17,1.93,1536.0,885968412.33,24.43,8.33,39.27,7.77
South Africa,2004,24.15,3.85,1004.75,748637333.5,17.27,5.25,54.95,9.7
South Africa,2006,9.05,4.05,2737.5,232215457.0,25.05,9.0,40.0,13.75
South Africa,2007,17.1,1.2,1598.0,1245372198.0,21.2,7.0,62.9,10.8
South Africa,2008,8.2,4.2,1061.0,748997300.0,30.1,6.0,68.3,0.8
South Africa,2009,22.6,1.63,1678.33,485829785.33,11.47,8.67,56.23,12.6
South Africa,2010,12.75,3.05,1924.5,1157809002.0,12.25,8.5,29.2,11.45
South Africa,2011,17.67,2.53,1630.0,992536055.0,26.17,3.33,43.9,8.3
South Africa,2012,20.64,3.44,1573.4,640320734.4,19.18,7.4,37.22,9.56
South Africa,2013,20.2,1.57,869.0,751337219.33,16.33,5.67,50.77,10.4
South Africa,2014,17.43,3.55,1831.33,600011214.33,22.38,7.0,34.68,9.85
South Africa,2015,23.98,3.35,2051.5,740386842.25,24.67,7.0,43.62,8.2
South Africa,2016,19.14,2.38,1611.8,741285708.2,25.04,6.6,47.56,7.42
South Africa,2017,21.6,2.7,1931.0,1132794639.5,27.8,4.0,35.5,8.45
South Africa,2018,33.9,4.5,827.0,83947380.0,17.7,1.0,56.6,6.0
South Africa,2019,26.8,1.3,1965.0,689862289.0,21.7,8.0,63.7,2.8
South Africa,2020,18.36,3.04,1195.2,542073742.8,24.74,5.2,45.6,10.54
South Africa,2021,14.07,3.07,2557.33,754645927.33,20.5,8.0,39.9,7.13
South Africa,2022,22.42,2.78,1714.25,783238563.75,34.98,10.0,22.65,12.6
South Africa,2023,19.6,2.7,1260.5,947624529.5,38.75,9.0,32.0,15.0
UK,2000,23.19,3.56,1259.25,859028389.38,28.12,9.25,51.29,10.99
UK,2001,16.15,2.5,1264.75,488699943.0,30.5,7.0,51.42,13.25
UK,2002,19.8,2.6,1510.0,789768220.0,14.45,10.5,55.7,15.85
UK,2003,9.0,3.15,993.0,589028994.0,16.4,10.5,22.9,9.5
UK,2004,15.4,2.4,1840.0,643196659.0,31.23,3.67,24.1,7.97
UK,2005,19.37,3.47,1707.0,501254289.33,26.67,4.67,18.0,10.1
UK,2006,16.38,2.88,1867.0,544496605.25,24.38,8.75,42.98,11.92
UK,2007,12.05,2.6,1375.5,1078034288.0,43.3,5.0,43.0,9.8
UK,2009,15.35,2.65,1164.5,762789216.5,20.7,6.5,45.75,14.1
UK,2010,19.3,4.3,891.0,1297221349.0,22.8,7.0,49.8,10.5
UK,2011,19.45,3.3,1750.25,454352788.25,29.85,9.75,47.08,5.65
UK,2012,15.4,1.95,2506.0,820208263.5,34.0,7.0,64.75,6.95
UK,2014,16.75,2.02,1647.0,995875536.5,30.08,5.5,35.65,15.72
UK,2015,7.3,2.9,1034.0,628479992.0,40.7,7.0,11.2,15.1
UK,2016,22.92,2.72,1471.0,1114005604.25,31.78,4.75,42.0,14.95
UK,2017,6.3,4.8,886.0,1193832295.0,23.8,13.0,35.0,11.0
UK,2018,24.9,3.12,1113.25,449763737.5,27.88,9.5,41.88,15.88
UK,2019,20.02,3.45,1531.75,862072044.75,16.6,6.5,46.45,17.15
UK,2020,7.8,4.9,1541.0,31063151.0,47.0,11.0,16.1,12.1
UK,2021,15.78,3.0,2268.75,631498987.75,29.05,10.75,59.02,15.75
UK,2022,19.4,1.97,1554.33,853986708.67,31.43,9.33,30.4,16.47
UK,2023,30.3,2.75,1503.0,923350357.5,24.7,6.0,53.35,14.3
USA,2000,15.44,2.68,1762.6,692542847.8,32.02,9.0,38.78,13.04
USA,2001,24.5,3.6,2041.0,214534006.0,47.7,10.0,60.9,19.4
USA,2002,12.07,3.2,1936.33,726304333.33,23.8,9.33,37.63,1.97
USA,2003,15.95,2.15,2140.83,858290009.67,23.47,6.33,34.93,8.13
USA,2004,22.0,2.27,1784.0,1161504021.67,35.23,7.67,39.0,13.3
USA,2005,27.1,2.5,622.0,1152039496.0,17.9,13.0,17.7,12.0
USA,2006,24.54,2.7,2067.6,814080298.0,30.68,9.4,58.3,13.4
USA,2007,20.17,3.77,1760.67,483789758.67,7.43,7.67,24.4,8.67
USA,2008,19.5,2.5,1419.0,1140062010.0,20.1,0.0,35.9,17.7
USA,2009,10.62,3.4,1617.0,778748288.25,26.8,2.5,30.02,10.5
USA,2011,30.8,2.45,922.0,562758301.5,36.65,7.5,27.45,12.8
